_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-3.8780694522529773,GO:0009987,cellular process,M1,1,GO:0000245 spliceosomal complex assembly
1,-1.4163524087511274,GO:0050896,response to stimulus,M1,1,GO:0010038 response to metal ion
