_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.8,GO:0090407,organophosphate biosynthetic process,M1,1,0
1,-2,R-MMU-8953897,Cellular responses to stimuli,M1,1,0
1,-1.3,R-MMU-6798695,Neutrophil degranulation,M1,1,0
1,-2.4,GO:0031503,protein-containing complex localization,M1,1,0
1,-2.5,GO:0006457,protein folding,M1,1,0
1,-2.1,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.7,GO:0051604,protein maturation,M1,1,0
1,-1.4,GO:0099536,synaptic signaling,M1,1,0
1,-2.2,R-MMU-2262752,Cellular responses to stress,M1,1,0
