,col1,col2,distance,num
0,2.0,57.0,0.0,2.0
1,3.0,32.0,0.0,2.0
2,58.0,208.0,0.0,3.0
3,42.0,70.0,0.0,2.0
4,15.0,55.0,0.0,2.0
5,134.0,212.0,0.0,3.0
6,135.0,213.0,0.0,4.0
7,198.0,199.0,0.0,2.0
8,33.0,192.0,0.0,2.0
9,54.0,112.0,0.0,2.0
10,71.0,184.0,0.0,2.0
11,94.0,158.0,0.0,2.0
12,69.0,176.0,0.0,2.0
13,107.0,171.0,0.0,2.0
14,144.0,145.0,0.0,2.0
15,84.0,150.0,0.0,2.0
16,165.0,187.0,1.2384399999731954e-05,2.0
17,104.0,114.0,0.0002382816999997317,2.0
18,106.0,147.0,0.000903588099999908,2.0
19,190.0,220.0,0.001173434284443608,3.0
20,83.0,189.0,0.002209533699999877,2.0
21,17.0,28.0,0.0029681511999997134,2.0
22,24.0,27.0,0.0036606565000001368,2.0
23,0.0,56.0,0.004045132799999962,2.0
24,6.0,224.0,0.004252842796418547,3.0
25,4.0,39.0,0.00485250809999993,2.0
26,86.0,124.0,0.004929601099999736,2.0
27,49.0,152.0,0.005229679999999792,2.0
28,76.0,186.0,0.005378799500000309,2.0
29,29.0,200.0,0.0055007636999997445,2.0
30,25.0,108.0,0.005759559699999972,2.0
31,11.0,47.0,0.006263007399999854,2.0
32,85.0,99.0,0.0076164068999999834,2.0
33,53.0,217.0,0.007894232859826718,3.0
34,141.0,225.0,0.00850689554579584,3.0
35,132.0,149.0,0.008596863200000193,2.0
36,34.0,35.0,0.009353212500000208,2.0
37,103.0,216.0,0.011794929981687373,3.0
38,31.0,229.0,0.012528029030775118,3.0
39,160.0,191.0,0.012657150399999928,2.0
40,109.0,166.0,0.012696353199999955,2.0
41,115.0,136.0,0.012795106200000017,2.0
42,219.0,227.0,0.01388779743983921,5.0
43,122.0,215.0,0.014300517104787525,3.0
44,48.0,66.0,0.014887429899999916,2.0
45,168.0,181.0,0.016551250200000034,2.0
46,22.0,46.0,0.016738327600000158,2.0
47,63.0,72.0,0.01698710020000016,2.0
48,96.0,226.0,0.017074774002450374,3.0
49,62.0,148.0,0.017455151300000082,2.0
50,77.0,137.0,0.01761071790000024,2.0
51,52.0,156.0,0.017870929900000387,2.0
52,40.0,61.0,0.017963633200000384,2.0
53,18.0,20.0,0.018115303299999663,2.0
54,129.0,178.0,0.019075048099999936,2.0
55,180.0,228.0,0.020351969784003204,3.0
56,43.0,140.0,0.020856984499999953,2.0
57,231.0,244.0,0.021306447839064675,4.0
58,123.0,202.0,0.021881962400000177,2.0
59,90.0,98.0,0.02219443260000009,2.0
60,95.0,126.0,0.024251280800000163,2.0
61,45.0,233.0,0.02546284503160941,3.0
62,26.0,36.0,0.027294569100000388,2.0
63,14.0,51.0,0.02747245530000031,2.0
64,110.0,221.0,0.02764838028465012,3.0
65,19.0,142.0,0.028977521099999848,2.0
66,170.0,185.0,0.031864950299999695,2.0
67,120.0,243.0,0.032669116259599,3.0
68,119.0,230.0,0.034268787059030775,3.0
69,100.0,154.0,0.034950046800000134,2.0
70,13.0,265.0,0.03560466163935947,5.0
71,182.0,218.0,0.03586109710441076,3.0
72,138.0,245.0,0.03614711964435351,4.0
73,235.0,246.0,0.03632873896495815,5.0
74,210.0,211.0,0.037313013117268534,5.0
75,127.0,159.0,0.03973334110000026,2.0
76,67.0,97.0,0.04003043230000003,2.0
77,196.0,258.0,0.040640567581734066,3.0
78,125.0,205.0,0.0408025501,2.0
79,78.0,82.0,0.04096739379999992,2.0
80,91.0,102.0,0.04169847880000033,2.0
81,143.0,167.0,0.041724617499999894,2.0
82,80.0,264.0,0.042339628133041256,3.0
83,247.0,254.0,0.05127589250262665,4.0
84,207.0,223.0,0.05471744684731506,3.0
85,232.0,236.0,0.056169119114087146,5.0
86,16.0,23.0,0.057573636999999955,2.0
87,177.0,262.0,0.05787058593315198,3.0
88,118.0,280.0,0.05888633181884583,5.0
89,7.0,65.0,0.06180742819999985,2.0
90,21.0,248.0,0.06259100641058352,3.0
91,1.0,116.0,0.06278886390000027,2.0
92,10.0,195.0,0.06420348239999996,2.0
93,251.0,273.0,0.06924912867560701,5.0
94,87.0,175.0,0.0715401186000002,2.0
95,193.0,250.0,0.0723191500873033,6.0
96,161.0,204.0,0.07327531609999971,2.0
97,68.0,239.0,0.07434088979221795,3.0
98,38.0,276.0,0.07575545263935628,4.0
99,174.0,271.0,0.0773207341925356,3.0
100,238.0,260.0,0.07749846007422585,4.0
101,155.0,259.0,0.07796115547530214,3.0
102,266.0,270.0,0.07845194449544546,4.0
103,214.0,282.0,0.08229915530339847,9.0
104,74.0,284.0,0.08232395705535883,3.0
105,269.0,281.0,0.08749127467377803,8.0
106,105.0,237.0,0.08773145304743461,3.0
107,30.0,274.0,0.08799373738575468,3.0
108,5.0,261.0,0.09573365133136026,3.0
109,173.0,290.0,0.09940555992013958,4.0
110,242.0,256.0,0.1011209870603261,6.0
111,44.0,93.0,0.11166345114263246,2.0
112,113.0,286.0,0.11299628546965537,3.0
113,88.0,292.0,0.11972664713703968,4.0
114,73.0,287.0,0.1238553056657199,3.0
115,92.0,240.0,0.12412919630329626,3.0
116,197.0,308.0,0.12413444190700797,5.0
117,89.0,310.0,0.13245153389778483,5.0
118,285.0,288.0,0.13294238925767526,5.0
119,75.0,255.0,0.13823651693917097,3.0
120,8.0,297.0,0.14492405159426489,3.0
121,128.0,209.0,0.1460231709686397,3.0
122,151.0,153.0,0.15210261150000015,2.0
123,278.0,311.0,0.1565083259207759,14.0
124,81.0,234.0,0.1583907749710108,3.0
125,283.0,295.0,0.15845436141649064,5.0
126,179.0,257.0,0.159302754800412,3.0
127,111.0,309.0,0.1637364230577638,4.0
128,252.0,306.0,0.16401447541622188,6.0
129,194.0,241.0,0.17155076829288687,4.0
130,277.0,307.0,0.17364115439808167,5.0
131,117.0,304.0,0.18162511279998375,3.0
132,291.0,317.0,0.18380176439999985,8.0
133,253.0,289.0,0.20663308744518064,4.0
134,305.0,316.0,0.2127682191478353,6.0
135,275.0,315.0,0.22021346523625718,6.0
136,131.0,326.0,0.23010878450399405,6.0
137,263.0,322.0,0.23590028901837046,6.0
138,301.0,318.0,0.23787333884284803,11.0
139,183.0,201.0,0.2517272930000001,2.0
140,188.0,334.0,0.2606170080853886,4.0
141,302.0,323.0,0.260881137428441,5.0
142,121.0,206.0,0.27353218719999983,2.0
143,59.0,267.0,0.2760408318916981,3.0
144,249.0,299.0,0.27672122677377947,4.0
145,41.0,329.0,0.28795493411561307,4.0
