,col1,col2,distance,num
193,376.0,400.0,9.423031577570503,45.0
194,378.0,401.0,9.872212770997804,53.0
195,375.0,402.0,10.640862030640463,62.0
196,377.0,403.0,10.938884307352529,73.0
197,389.0,404.0,11.179206191553082,83.0
198,371.0,405.0,12.03258930636401,96.0
199,388.0,406.0,12.372596342206304,108.0
200,374.0,407.0,13.030726819516655,122.0
201,359.0,408.0,14.212005377253709,136.0
202,384.0,409.0,14.30318226862146,150.0
203,369.0,410.0,14.393536288413298,165.0
204,393.0,411.0,14.883377847029728,180.0
205,394.0,412.0,14.96162970145035,194.0
206,331.0,413.0,15.307597197946095,208.0
